title,group,tag,lowercase_word,N
Descartes,0,VERB,could,277
Descartes,0,VERB,descartes,277
Descartes,0,VERB,being,256
Descartes,0,VERB,see,256
Descartes,0,VERB,must,235
Descartes,0,VERB,should,234
Descartes,0,VERB,s,231
Descartes,0,VERB,might,221
Descartes,0,VERB,do,210
Descartes,0,VERB,may,210
Descartes,0,VERB,say,195
Descartes,0,VERB,been,154
Descartes,0,X,–,494
Descartes,0,X,-,381
Descartes,0,X,cf.,41
Descartes,0,X,etc,41
Descartes,0,X,de,35
Descartes,0,X,a,32
Descartes,0,X,priori,23
Descartes,0,X,i,22
Descartes,0,X,cogito,20
Descartes,0,X,3,19
Descartes,0,X,1,18
Descartes,0,X,’,17
Descartes,0,X,. . .,16
Descartes,0,X,b,16
Descartes,0,X,etc.,16
Descartes,0,X,2,15
Descartes,0,X,iii,15
Descartes,0,X,.,14
Descartes,0,X,4,12
Descartes,0,X,i.e.,12
Descartes,0,X,la,12
Descartes,0,X,e.g.,11
Descartes,0,X,like,11
Descartes,0,X,ii,10
Descartes,0,X,re,8
Descartes,0,X,‘,8
Descartes,0,X,et,7
Descartes,0,X,iv,7
Descartes,0,X,v,7
Descartes,0,X,l,6
Descartes,0,X,[,5
Descartes,0,X,c,5
Descartes,0,X,):,4
Descartes,0,X,dicto,2
Descartes,0,X,p.,2
Descartes,0,X,vis,2
Descartes,0,X,anima,1
Descartes,0,X,ed,1
Descartes,0,X,esprit,1
Descartes,0,X,evidentissimè,1
Descartes_1,1,.,",",8350
Descartes_1,1,.,.,3898
Descartes_1,1,.,(,1094
Descartes_1,1,.,),1093
Descartes_1,1,.,’,894
Descartes_1,1,.,‘,888
Descartes_1,1,.,:,745
Descartes_1,1,.,;,607
Descartes_1,1,.,–,391
Descartes_1,1,.,-,356
Descartes_1,1,.,?,194
Descartes_1,1,.,):,26
Descartes_1,1,.,[,10
Descartes_1,1,.,],10
Descartes_1,1,.,“,10
Descartes_1,1,.,”,10
Descartes_1,1,.,*,6
Descartes_1,1,.,xi,2
Descartes_1,1,.,beliefs,1
Descartes_1,1,.,hr1,1
Descartes_1,1,.,ix–1,1
Descartes_1,1,.,p.,1
Descartes_1,1,.,question.9,1
Descartes_1,1,.,x,1
Descartes_1,1,ADJ,such,293
Descartes_1,1,ADJ,true,286
Descartes_1,1,ADJ,other,250
Descartes_1,1,ADJ,s,187
Descartes_1,1,ADJ,‘,170
Descartes_1,1,ADJ,certain,165
Descartes_1,1,ADJ,clear,153
Descartes_1,1,ADJ,first,139
Descartes_1,1,ADJ,particular,138
Descartes_1,1,ADJ,more,137
Descartes_1,1,ADJ,physical,134
Descartes_1,1,ADJ,same,130
Descartes_1,1,ADJ,pure,126
Descartes_1,1,ADJ,possible,114
Descartes_1,1,ADJ,general,112
Descartes_1,1,ADJ,own,112
Descartes_1,1,ADJ,different,109
Descartes_1,1,ADJ,least,100
Descartes_1,1,ADJ,false,97
Descartes_1,1,ADJ,mental,88
Descartes_1,1,ADJ,second,88
Descartes_1,1,ADJ,important,84
Descartes_1,1,ADJ,distinct,83
Descartes_1,1,ADP,of,4781
Descartes_1,1,ADP,in,2663
Descartes_1,1,ADP,that,2453
Descartes_1,1,ADP,to,1489
Descartes_1,1,ADP,as,1160
Descartes_1,1,ADP,for,853
Descartes_1,1,ADP,if,632
Descartes_1,1,ADP,by,598
Descartes_1,1,ADP,from,587
Descartes_1,1,ADP,on,564
Descartes_1,1,ADP,at,548
Descartes_1,1,ADP,with,521
Descartes_1,1,ADP,about,297
Descartes_1,1,ADP,than,237
Descartes_1,1,ADP,between,150
Descartes_1,1,ADP,since,136
Descartes_1,1,ADP,though,126
Descartes_1,1,ADP,whether,124
Descartes_1,1,ADP,out,115
Descartes_1,1,ADP,without,105
Descartes_1,1,ADP,because,97
Descartes_1,1,ADP,into,90
Descartes_1,1,ADP,up,84
Descartes_1,1,ADP,like,56
Descartes_1,1,ADP,against,48
Descartes_1,1,ADP,through,40
Descartes_1,1,ADV,not,1585
Descartes_1,1,ADV,so,367
Descartes_1,1,ADV,only,266
Descartes_1,1,ADV,just,222
Descartes_1,1,ADV,then,221
Descartes_1,1,ADV,more,207
Descartes_1,1,ADV,even,193
Descartes_1,1,ADV,very,187
Descartes_1,1,ADV,when,182
Descartes_1,1,ADV,also,166
Descartes_1,1,ADV,how,146
Descartes_1,1,ADV,however,134
Descartes_1,1,ADV,now,134
Descartes_1,1,ADV,all,132
Descartes_1,1,ADV,rather,126
Descartes_1,1,ADV,here,123
Descartes_1,1,ADV,merely,122
Descartes_1,1,ADV,as,121
Descartes_1,1,ADV,at,120
Descartes_1,1,ADV,clearly,112
Descartes_1,1,ADV,already,107
Descartes_1,1,ADV,there,104
Descartes_1,1,ADV,indeed,94
Descartes_1,1,ADV,perhaps,80
Descartes_1,1,CONJ,that,2282
Descartes_1,1,CONJ,and,2137
Descartes_1,1,CONJ,but,761
Descartes_1,1,CONJ,if,632
Descartes_1,1,CONJ,or,629
Descartes_1,1,CONJ,as,487
Descartes_1,1,CONJ,when,182
Descartes_1,1,CONJ,how,146
Descartes_1,1,CONJ,since,136
Descartes_1,1,CONJ,though,125
Descartes_1,1,CONJ,whether,124
Descartes_1,1,CONJ,because,98
Descartes_1,1,CONJ,for,91
Descartes_1,1,CONJ,while,78
Descartes_1,1,CONJ,where,68
Descartes_1,1,CONJ,nor,65
Descartes_1,1,CONJ,why,55
Descartes_1,1,CONJ,than,50
Descartes_1,1,CONJ,so,49
Descartes_1,1,CONJ,either,40
Descartes_1,1,CONJ,both,38
Descartes_1,1,CONJ,yet,22
Descartes_1,1,CONJ,neither,8
Descartes_1,1,CONJ,‘,4
Descartes_1,1,CONJ,moreover,3
Descartes_1,1,CONJ,’,2
Descartes_1,1,CONJ,],1
Descartes_1,1,CONJ,enquiry,1
Descartes_1,1,CONJ,et,1
Descartes_1,1,CONJ,less,1
Descartes_1,1,CONJ,plus,1
Descartes_1,1,CONJ,s,1
Descartes_1,1,CONJ,–,1
Descartes_1,1,DET,the,6601
Descartes_1,1,DET,a,2426
Descartes_1,1,DET,this,1287
Descartes_1,1,DET,which,1253
Descartes_1,1,DET,that,1072
Descartes_1,1,DET,an,528
Descartes_1,1,DET,there,507
Descartes_1,1,DET,all,416
Descartes_1,1,DET,some,375
Descartes_1,1,DET,any,356
Descartes_1,1,DET,no,354
Descartes_1,1,DET,these,286
Descartes_1,1,DET,such,110
Descartes_1,1,DET,those,107
Descartes_1,1,DET,another,99
Descartes_1,1,DET,both,66
Descartes_1,1,DET,what,49
Descartes_1,1,DET,each,42
Descartes_1,1,DET,whose,33
Descartes_1,1,DET,every,30
Descartes_1,1,DET,whatever,18
Descartes_1,1,DET,either,14
Descartes_1,1,DET,quite,6
Descartes_1,1,NOUN,’,1316
Descartes_1,1,NOUN,descartes,1068
Descartes_1,1,NOUN,‘,489
Descartes_1,1,NOUN,god,444
Descartes_1,1,NOUN,idea,294
Descartes_1,1,NOUN,s,280
Descartes_1,1,NOUN,knowledge,255
Descartes_1,1,NOUN,world,240
Descartes_1,1,NOUN,thing,232
Descartes_1,1,NOUN,argument,231
Descartes_1,1,NOUN,way,231
Descartes_1,1,NOUN,–,221
Descartes_1,1,NOUN,conception,219
Descartes_1,1,NOUN,point,211
Descartes_1,1,NOUN,fact,197
Descartes_1,1,NOUN,body,196
Descartes_1,1,NOUN,things,196
Descartes_1,1,NOUN,sense,190
Descartes_1,1,NOUN,existence,186
Descartes_1,1,NOUN,something,185
Descartes_1,1,NOUN,thought,185
Descartes_1,1,NOUN,question,180
Descartes_1,1,NOUN,mind,174
Descartes_1,1,NOUN,case,157
Descartes_1,1,NOUN,proposition,152
Descartes_1,1,NUM,one,650
Descartes_1,1,NUM,two,137
Descartes_1,1,NUM,vii,124
Descartes_1,1,NUM,2,59
Descartes_1,1,NUM,iii,52
Descartes_1,1,NUM,ii,51
Descartes_1,1,NUM,1,46
Descartes_1,1,NUM,3,45
Descartes_1,1,NUM,5,44
Descartes_1,1,NUM,4,43
Descartes_1,1,NUM,7,40
Descartes_1,1,NUM,iv,40
Descartes_1,1,NUM,9,36
Descartes_1,1,NUM,6,30
Descartes_1,1,NUM,8,28
Descartes_1,1,NUM,10,27
Descartes_1,1,NUM,three,22
Descartes_1,1,NUM,15,19
Descartes_1,1,NUM,k,18
Descartes_1,1,NUM,14,17
Descartes_1,1,NUM,1640,12
Descartes_1,1,NUM,13,11
Descartes_1,1,NUM,1638,11
Descartes_1,1,NUM,1642,11
Descartes_1,1,NUM,1641,10
Descartes_1,1,PRON,it,2012
Descartes_1,1,PRON,which,1243
Descartes_1,1,PRON,he,1194
Descartes_1,1,PRON,i,1017
Descartes_1,1,PRON,we,933
Descartes_1,1,PRON,that,745
Descartes_1,1,PRON,his,655
Descartes_1,1,PRON,this,617
Descartes_1,1,PRON,what,538
Descartes_1,1,PRON,there,501
Descartes_1,1,PRON,one,259
Descartes_1,1,PRON,its,232
Descartes_1,1,PRON,they,218
Descartes_1,1,PRON,them,197
Descartes_1,1,PRON,my,190
Descartes_1,1,PRON,something,185
Descartes_1,1,PRON,him,163
Descartes_1,1,PRON,itself,158
Descartes_1,1,PRON,our,155
Descartes_1,1,PRON,who,143
Descartes_1,1,PRON,us,134
Descartes_1,1,PRON,himself,126
Descartes_1,1,PRON,me,102
Descartes_1,1,PRON,their,95
Descartes_1,1,PRON,themselves,41
Descartes_1,1,PRON,you,41
Descartes_1,1,PRT,to,3490
Descartes_1,1,PRT,not,1568
Descartes_1,1,PRT,’s,695
Descartes_1,1,PRT,out,100
Descartes_1,1,PRT,up,78
Descartes_1,1,PRT,ff,49
Descartes_1,1,PRT,pp,20
Descartes_1,1,PRT,on,14
Descartes_1,1,PRT,off,10
Descartes_1,1,PRT,down,9
Descartes_1,1,PRT,now,9
Descartes_1,1,PRT,s,8
Descartes_1,1,PRT,about,4
Descartes_1,1,PRT,aside,4
Descartes_1,1,PRT,away,4
Descartes_1,1,PRT,back,4
Descartes_1,1,PRT,like,4
Descartes_1,1,PRT,’,4
Descartes_1,1,PRT,in,3
Descartes_1,1,PRT,not-,3
Descartes_1,1,PRT,over,3
Descartes_1,1,PRT,yes,3
Descartes_1,1,PRT,behind,2
Descartes_1,1,PRT,no,2
Descartes_1,1,PRT,say,2
Descartes_1,1,PRT,‘,2
Descartes_1,1,PRT,along,1
Descartes_1,1,PRT,assent,1
Descartes_1,1,PRT,body.2,1
Descartes_1,1,PRT,cf,1
Descartes_1,1,PRT,effect’.22,1
Descartes_1,1,PRT,happens.11,1
Descartes_1,1,PRT,inasmuch,1
